,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
194,0.794,0.539,-12.139,0.0564,0.129,0.862,0.0832,0.75,121.037,2EZw6EHzYnGK7eMOKQtJZM,144771
195,0.657,0.875,-7.917,0.0456,0.149,0.725,0.102,0.48,118.984,4cYr9UPD42QASh7fAO3hsZ,203639
196,0.737,0.534,-8.526,0.143,0.293,0.034,0.386,0.412,87.991,63s12f6UIXyIMYqyAt9EvX,155455
197,0.615,0.897,-9.917,0.0333,0.00168,0.874,0.122,0.865,106.02,0oUvwysj8H3suYkhiwZ4LH,111363
198,0.638,0.916,-6.56,0.0341,0.245,0.0133,0.207,0.707,120.052,3hNnZktMo2JiqJYuPa6BnT,192000
199,0.749,0.668,-10.555,0.0412,0.262,0.889,0.0897,0.675,120.987,54tLyBwOmhZDgXtjwxb3w6,161695
200,0.629,0.647,-10.808,0.031,0.166,0.451,0.139,0.787,128.996,0jeVKY2hHf9CZn2FBaIZ9h,182621
201,0.697,0.782,-10.66,0.0466,0.343,0.904,0.102,0.887,116.005,3Y3esTO8mbsEYrCU2OtXCZ,151359
202,0.647,0.657,-9.358,0.031,0.134,0.584,0.158,0.6,114.983,7u2vDfjjQRRV8ZQIgfgYPR,112152
203,0.758,0.507,-11.756,0.0857,0.158,0.863,0.106,0.528,122.005,4qKW6ppmAETEWGP95LciqD,142896
204,0.866,0.571,-9.398,0.0737,0.326,0.00134,0.0967,0.749,111.999,6VM2pljNUV6ch5OZiDChyR,139790
205,0.809,0.435,-10.291,0.0528,0.0678,0.813,0.11,0.298,121.983,6R4AqdUkHxhSQUEU7UQE1A,188852
206,0.728,0.822,-7.987,0.0359,0.0931,0.0117,0.275,0.681,115.033,1K8mJMq6JktgoP9l7PlAiC,118329
207,0.664,0.797,-10.357,0.0384,0.0294,0.867,0.327,0.364,121.025,0ZjLvWA6rL0bmURt96CLE8,154711
208,0.74,0.622,-9.598,0.0765,0.18,0.491,0.278,0.537,106.002,3m3QDOqDeRcPcH2DvHnxLc,130270
209,0.687,0.621,-10.303,0.0399,0.0713,0.855,0.185,0.4,124.008,0igNgY8VNrwq3LHANayXvs,191286
